url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=10enqcw2Qiw,"I Tested 100,000 People's DNA. This Diet Will Kill You - Gary Brecka",5597,93.28,5925408,"Gary Brecka is the co-founder of 10X Health System and is one of the world’s leading experts in human biology and biohacking. He has worked with CEOs, models, to athletes from the UFC, NFL,...",,
https://www.youtube.com/watch?v=3eZJ_y68wsg,"Jocko Willink (Former Navy Seal): Use This Weird Trick To Overcome Fear, Anxiety & Self-Doubt!",6607,110.12,1781263,"Jocko Willink is a retired U.S. Navy SEAL officer and New York Times bestselling author, he is also the host of the Jocko Podcast, and co-founder of the leadership training organisation, Echelon...",,
https://www.youtube.com/watch?v=uHLAazKUU68,"Jimmy Carr: ""There's A Crisis Going On With Men!""",6965,116.08,4585278,"Jimmy Carr is an award-winning comedian, writer and TV host for shows including, ‘8 Out Of 10 Cats’, ‘Roast Battle’, and ‘Big Fat Quiz Of The Year’.  00:00 Intro 02:01 How Are You,...",,
https://www.youtube.com/watch?v=lbzn5iz8Mbo,The Longevity Expert: Is There A Link Between Milk & Cancer? + Ozempic Can Really Mess You Up!,6237,103.95,1758492,"Dr Mark Hyman is a practicing family doctor, the founder and director of The UltraWellness Center, as well as the Cleveland Clinic Center for Functional Medicine. He is a fifteen-time New...",,
https://www.youtube.com/watch?v=ojNTQRW-SXM,Ronda Rousey: I Kept This A Secret My Entire Career! WWE Is A Mess!,5809,96.82,1210747,"Ronda Rousey was the first American woman to win an Olympic medal in judo, and UFC women's bantamweight champion from 2012 to 2015, she was also a professional wrestler in the WWE from 2017...",,
https://www.youtube.com/watch?v=J5lAgTvbGS8,Tim Dillon (Comedian): The Boomers Are A Selfish Generation And Gen Z Has Exposed Society's Scam!,6192,103.2,2992097,"Tim Dillon is a comedian, actor, and host of the Tim Dillon Show podcast. In 2017, Rolling Stone magazine named him as one of the top 10 comics you need to know, and in 2022, he released his...",,
https://www.youtube.com/watch?v=HUoPA6oP6do,The Better-Sex Doctor: The Link Between Masturbating & Prostate Cancer! Dr Rena Malik,6849,114.15,7584012,"Dr Rena Malik is a Urologist & Pelvic Surgeon, her YouTube channel has over 1.8 million subscribers, where she releases weekly episodes on everything to do with sexual health education.  0:00...",,
https://www.youtube.com/watch?v=mS3bfCt0K88,The Gottman Doctors: Women Tend to Be More Unhappily Married & Non-Cuddlers Have an Awful Sex Life!,7603,126.72,2384992,"Drs. John and Julie Gottman are world leading relationship researchers that have been studying couples for over 40 years, publishing over 200 academic journal articles and 46 books. They are...",,
https://www.youtube.com/watch?v=sb2kXdfJmww,From My Garden Shed To $100m Business Empire! “That Letter Was The End Of Represent” - George Heaton,6173,102.88,530744,"George Heaton is the owner and creative director of the British luxury streetwear brand, Represent.  0:00 Intro 02:40 What is the mission you're on? 02:50 What made you obsessed with winning?...",,
https://www.youtube.com/watch?v=USE89i0kiiQ,Leading Childhood Trauma Doctor: 10 Lies They Told You About Your Childhood Trauma! - Paul Conti,6432,107.2,528236,"Dr. Paul Conti is a general psychiatrist and expert on treating trauma, he is also the founder and CEO of Pacific Premier Group, PC. Some of his clients include Lady Gaga, Kim Kardashian &...",,
https://www.youtube.com/watch?v=yrwSOMFZvHY,The Manipulation Expert: You're Being Manipulated! Use Jealousy To Manipulate People! Robert Greene,7242,120.7,8652177,"Robert Greene is a New York Times bestselling author, whose books include, ‘The 48 Laws of Power’, ’The Art of Seduction’, and ’The 33 Strategies of War’.  00:00 Intro 02:35 Why...",,
https://www.youtube.com/watch?v=Znoi6tBtYRc,The Calories Expert: Health Experts Are Wrong About Calories & Diet Coke! Layne Norton,9078,151.3,1501004,Dr. Layne Norton is a former powerlifting champion and professional bodybuilder. He is the founder of Biolayne LLC and the co-founder of Carbon Diet Coach.  00:00 Intro 02:40 Making Fitness...,,
https://www.youtube.com/watch?v=SNuHbJbuUZE,This Statistically Is The Best Age To Get Married So You Don't Get A Divorce!,6547,109.12,1441801,"Lori Gottlieb is a psychotherapist and a bestselling author, she is also the co-host of the ‘Dear Therapists’ podcast. Her New York Times bestselling books include, ‘Maybe You Should...",,
https://www.youtube.com/watch?v=B_5N_aDu3u0,"Dr K: ""There Is A Crisis Going On With Men!"", “We’ve Produced Millions Of Lonely, Addicted Males!”",5580,93.0,3139318,"Dr Alok Kanojia (HealthyGamerGG) is a psychiatrist and co-founder of the mental health coaching company 'Healthy Gamer', which aims to help with modern stressors, such as social media, video...",,
https://www.youtube.com/watch?v=QVVe2rCHtN0,"CIA Spy: ""Leave The USA Before 2030!"" Why You Shouldn't Trust Your Gut! - Andrew Bustamante",7340,122.33,13915838,"Andrew Bustamante is a former covert CIA intelligence officer and US Air Force combat veteran. He is the founder of EverydaySpy, an online education platform that teaches real-world international...",,
